public	node_heartbeats	allow_all_heartbeats	PERMISSIVE	{public}	ALL	true	
public	profiles	profiles_insert_own	PERMISSIVE	{authenticated}	INSERT		(( SELECT auth.uid() AS uid) = user_id)
public	profiles	profiles_select_owner	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	profiles	profiles_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	profiles	profiles_service_full	PERMISSIVE	{service_role}	ALL	true	true
public	profiles	profiles_update_owner	PERMISSIVE	{authenticated}	UPDATE	(( SELECT auth.uid() AS uid) = user_id)	(( SELECT auth.uid() AS uid) = user_id)
public	promo_claims	promo_claims_insert_own	PERMISSIVE	{authenticated}	INSERT		(( SELECT auth.uid() AS uid) = user_id)
public	promo_claims	promo_claims_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	promo_claims	promo_claims_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	promo_claims	promo_claims_update_own	PERMISSIVE	{authenticated}	UPDATE	(( SELECT auth.uid() AS uid) = user_id)	(( SELECT auth.uid() AS uid) = user_id)
public	promo_offers	promo_offers_select_window	PERMISSIVE	{anon,authenticated}	SELECT	((starts_at <= now()) AND ((ends_at IS NULL) OR (ends_at > now())))	
public	promo_offers	promo_offers_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	slot_spins	slot_spins_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	slot_spins	slot_spins_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	transactions	block_delete_for_authenticated	PERMISSIVE	{authenticated}	DELETE	false	
public	transactions	block_insert_for_authenticated	PERMISSIVE	{authenticated}	INSERT		false
public	transactions	block_update_for_authenticated	PERMISSIVE	{authenticated}	UPDATE	false	false
public	transactions	transactions_select_owner	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	transactions	transactions_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	transactions_audit	service_role_all	PERMISSIVE	{service_role}	ALL	true	true
public	transactions_audit	transactions_audit_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	withdraw_requests	withdraw_insert_own	PERMISSIVE	{authenticated}	INSERT		(( SELECT auth.uid() AS uid) = user_id)
public	withdraw_requests	withdraw_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	withdraw_requests	withdraws_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	withdraw_requests	withdraws_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	withdraw_requests	wr_service_all	PERMISSIVE	{service_role}	ALL	true	true
storage	objects	avatars_public_read	PERMISSIVE	{public}	SELECT	(bucket_id = 'avatars'::text)	
storage	objects	avatars_user_delete_own_folder	PERMISSIVE	{authenticated}	DELETE	((bucket_id = 'avatars'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))	
storage	objects	avatars_user_update_own_folder	PERMISSIVE	{authenticated}	UPDATE	((bucket_id = 'avatars'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))	((bucket_id = 'avatars'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))
storage	objects	avatars_user_write_own_folder	PERMISSIVE	{authenticated}	INSERT		((bucket_id = 'avatars'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))
